isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE101A01026,Mahindra & Mahindra Ltd.,1530057.0,51998.99,0.1316057292634,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE758T01015,Eternal Ltd.,12492993.0,37785.06,0.0956312877723,Retailing,TRANSPO,ICICI Prudential AMC,2026-07
INE494B01023,TVS Motor Company Ltd.,739957.0,31915.09,0.0807748130099,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE585B01010,Maruti Suzuki India Ltd.,195724.0,27859.35,0.0705100247823,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE646L01027,Interglobe Aviation Ltd.,454749.0,23515.07,0.0595149624258,Transport Services,TRANSPO,ICICI Prudential AMC,2026-07
INE1TAE01010,Tata Motors Ltd.,4891495.0,21366.05,0.054075946316,"Agricultural, Commercial & Construction Vehicles",TRANSPO,ICICI Prudential AMC,2026-07
INE0V6F01027,Hyundai Motor India Ltd.,826826.0,18030.59,0.0456341353168,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE917I01010,Bajaj Auto Ltd.,153204.0,17649.87,0.0446705601926,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE00H001014,Swiggy Ltd,4322665.0,12313.54,0.0311646901509,Retailing,TRANSPO,ICICI Prudential AMC,2026-07
INE208A01029,Ashok Leyland Ltd.,7112165.0,11819.0,0.0299130447372,"Agricultural, Commercial & Construction Vehicles",TRANSPO,ICICI Prudential AMC,2026-07
INE066A01021,Eicher Motors Ltd.,150111.0,11758.95,0.0297610624768,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE775A01035,Samvardhana Motherson International Ltd.,6594590.0,9941.34,0.0251608214035,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE12UN01015,Shadowfax Technologies Ltd,3837643.0,9321.63,0.023592379661,Transport Services,TRANSPO,ICICI Prudential AMC,2026-07
INE342J01019,ZF Commercial Vehicle Control Systems India Ltd,345330.0,8349.73,0.0211325701865,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE073K01018,Sona Blw Precision Forgings Ltd.,1033875.0,7954.63,0.0201326003095,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE726V01018,Pricol Ltd,988038.0,6883.17,0.0174208115868,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE753U01022,Divgi Torqtransfer Systems Ltd,701364.0,6752.38,0.0170897914394,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE597I01028,Sharda Motor Industries Ltd,600704.0,5233.93,0.0132467029564,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE323A01026,Bosch Ltd.,11747.0,4826.25,0.012214893998,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE155A01022,Tata Motors Passenger Vehicles Ltd.,1332482.0,4527.11,0.0114577920264,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE158A01026,Hero Motocorp Ltd.,82648.0,4451.42,0.0112662260431,Automobiles,TRANSPO,ICICI Prudential AMC,2026-07
INE0FS801015,Motherson Sumi Wiring India Ltd.,10490024.0,4260.0,0.0107817556968,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE742F01042,Adani Ports and Special Economic Zone Ltd.,239118.0,4056.64,0.0102670660633,Transport Infrastructure,TRANSPO,ICICI Prudential AMC,2026-07
INE335Y01020,Indian Railway Catering and Tourism Corporation Ltd.,776222.0,3801.94,0.0096224385572,Leisure Services,TRANSPO,ICICI Prudential AMC,2026-07
INE284S01014,SJS Enterprises Ltd,141444.0,3382.92,0.0085619288689,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE00Q601028,Studds Accessories Ltd.,754569.0,3321.24,0.0084058211949,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE19RI01016,Tenneco Clean Air India Ltd.,580485.0,3122.72,0.0079033812557,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE111A01025,Container Corporation Of India Ltd.,566596.0,2977.46,0.007535738572,Transport Services,TRANSPO,ICICI Prudential AMC,2026-07
INE913H01037,Endurance Technologies Ltd.,99215.0,2736.65,0.0069262656637,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE665L01035,Varroc Engineering Ltd.,400573.0,2720.69,0.0068858720438,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE645S01024,Rolex Rings Ltd.,1897751.0,2598.97,0.0065778074186,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE00XB01019,Sedemac Mechatronics Ltd,96037.0,2578.02,0.0065247844651,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE934S01014,GNA Axles Ltd,410169.0,2197.48,0.0055616649081,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE148O01028,Delhivery Ltd.,400000.0,1927.8,0.0048791240921,Transport Services,TRANSPO,ICICI Prudential AMC,2026-07
INE925R01014,CMS Info Systems Ltd,722196.0,1904.43,0.0048199762914,Commercial Services & Supplies,TRANSPO,ICICI Prudential AMC,2026-07
INE0O6601022,Kross Ltd.,677244.0,1328.75,0.0033629713338,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE517F01014,Gujarat Pipavav Port Ltd.,638193.0,959.01,0.0024271858053,Transport Infrastructure,TRANSPO,ICICI Prudential AMC,2026-07
INE0UIZ01018,Zinka Logistics Solutions Ltd,152471.0,827.16,0.0020934828737,Transport Services,TRANSPO,ICICI Prudential AMC,2026-07
INE536H01010,CIE Automotive India Ltd,124606.0,509.14,0.0012885969707,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE399C01030,Suprajit Engineering Ltd.,91298.0,460.69,0.0011659734816,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
INE233B01017,Blue Dart Express Ltd.,5728.0,295.58,0.0007480918659,Transport Services,TRANSPO,ICICI Prudential AMC,2026-07
INE227C01017,MM Forgings Ltd.,28631.0,156.57,0.0003962674857,Auto Components,TRANSPO,ICICI Prudential AMC,2026-07
